total count,percent of total,activties count,percent of activities,tokens,n_gram
136,0.000298,136,0.002646,5月号表紙に登場,1grams
135,0.000296,135,0.002627,#3340,1grams
135,0.000296,133,0.002588,piel,1grams
135,0.000296,134,0.002607,using,1grams
135,0.000296,133,0.002588,fluid,1grams
135,0.000296,135,0.002627,este,1grams
135,0.000296,135,0.002627,فاخر,1grams
134,0.000294,129,0.002510,ainda,1grams
133,0.000291,133,0.002588,huzoor,1grams
133,0.000291,132,0.002568,launch,1grams
133,0.000291,133,0.002588,surah,1grams
133,0.000291,133,0.002588,@MrTaytoNI,1grams
133,0.000291,133,0.002588,favourite,1grams
133,0.000291,133,0.002588,miswak,1grams
132,0.000289,132,0.002568,alguém,1grams
132,0.000289,80,0.001557,gucci,1grams
132,0.000289,132,0.002568,assam,1grams
132,0.000289,132,0.002568,dhubri,1grams
132,0.000289,132,0.002568,رسمي,1grams
131,0.000287,131,0.002549,elegir,1grams
131,0.000287,130,0.002529,gajo,1grams
131,0.000287,131,0.002549,#Fashion,1grams
130,0.000285,130,0.002529,kingmaker,1grams
130,0.000285,130,0.002529,launches,1grams
130,0.000285,123,0.002393,pour,1grams
129,0.000283,129,0.002510,５月号は音楽ファン必見,1grams
129,0.000283,129,0.002510,4dpb8tiiqm,1grams
129,0.000283,129,0.002510,華麗なる３人の歴史を衣装と共に振り返ります,1grams
128,0.000280,64,0.001245,بولغاري,1grams
128,0.000280,128,0.002490,bathed,1grams
128,0.000280,128,0.002490,#910,1grams
128,0.000280,122,0.002374,britney,1grams
128,0.000280,124,0.002413,paris,1grams
127,0.000278,126,0.002452,video,1grams
127,0.000278,127,0.002471,#0193,1grams
127,0.000278,127,0.002471,spreading,1grams
126,0.000276,123,0.002393,comprar,1grams
126,0.000276,125,0.002432,taste,1grams
126,0.000276,126,0.002452,gruda,1grams
125,0.000274,124,0.002413,spell,1grams
125,0.000274,125,0.002432,weird,1grams
125,0.000274,122,0.002374,original,1grams
125,0.000274,125,0.002432,nails,1grams
125,0.000274,120,0.002335,vintage,1grams
124,0.000272,124,0.002413,kahf,1grams
123,0.000269,123,0.002393,sorriso,1grams
123,0.000269,123,0.002393,malam,1grams
122,0.000267,121,0.002354,alguien,1grams
122,0.000267,122,0.002374,#783,1grams
122,0.000267,118,0.002296,musk,1grams
121,0.000265,120,0.002335,alguem,1grams
121,0.000265,121,0.002354,estiver,1grams
121,0.000265,121,0.002354,esquecendo,1grams
121,0.000265,121,0.002354,shop,1grams
121,0.000265,121,0.002354,escorted,1grams
121,0.000265,121,0.002354,uwargida,1grams
121,0.000265,108,0.002101,aquele,1grams
121,0.000265,121,0.002354,faruk,1grams
120,0.000263,120,0.002335,cérebro,1grams
120,0.000263,120,0.002335,@jarumamagazine,1grams
120,0.000263,120,0.002335,#7743,1grams
119,0.000261,111,0.002160,blue,1grams
